City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,labasa,-16.4167,179.3833,298.52,78,52,2.65,FJ,1726948915
1,port-aux-francais,-49.35,70.2167,274.46,68,71,16.78,TF,1726948916
2,acajutla,13.5928,-89.8275,299.96,83,90,3.48,SV,1726948917
3,udachny,66.4167,112.4,270.08,91,93,1.33,RU,1726948897
4,ta`u,-14.2336,-169.5144,299.77,83,34,8.43,AS,1726948920
5,taoudenni,22.6783,-3.9836,311.57,23,78,2.91,ML,1726948921
6,adamstown,-25.066,-130.1015,293.68,79,100,1.14,PN,1726948922
7,ushuaia,-54.8,-68.3,276.96,65,75,6.69,AR,1726948722
8,blackmans bay,-43.0167,147.3167,283.22,67,88,1.79,AU,1726948924
9,bilibino,68.0546,166.4372,276.75,87,98,0.66,RU,1726948925
10,grytviken,-54.2811,-36.5092,271.04,71,20,4.27,GS,1726948926
11,richards bay,-28.783,32.0377,288.19,82,97,1.52,ZA,1726948927
12,khor,47.8861,134.9464,275.97,74,0,2.78,RU,1726948928
13,edinburgh of the seven seas,-37.0676,-12.3116,284.58,80,98,9.8,SH,1726948930
14,ribeira grande,38.5167,-28.7,297.37,73,40,4.12,PT,1726948931
15,st. john's,47.5649,-52.7093,284.8,85,75,8.49,CA,1726948915
16,port elizabeth,-33.918,25.5701,289.44,70,40,5.66,ZA,1726948933
17,sosnovo-ozerskoye,52.5249,111.5418,275.73,79,84,1.63,RU,1726948934
18,iqaluit,63.7506,-68.5145,278.0,80,20,6.71,CA,1726948921
19,east london,-33.0153,27.9116,289.66,62,82,4.17,ZA,1726948936
20,bethel,41.3712,-73.414,295.53,63,100,0.89,US,1726948937
21,dunkerque,50.8333,2.5,293.59,75,98,2.25,FR,1726948939
22,ramos arizpe,25.55,-100.9667,303.26,54,20,5.64,MX,1726948940
23,margaret river,-33.95,115.0667,283.12,88,37,1.59,AU,1726948941
24,jamaame,0.0697,42.745,297.91,81,2,4.33,SO,1726948942
25,cuxhaven,53.8718,8.6909,289.26,72,20,2.06,DE,1726948943
26,san luis del palmar,-27.5079,-58.5545,303.12,39,13,3.5,AR,1726948944
27,tazovsky,67.4667,78.7,279.46,95,100,7.46,RU,1726948945
28,enewetak,11.3474,162.3373,301.48,71,99,4.5,MH,1726948947
29,dinskaya,45.2178,39.2283,294.2,34,68,4.16,RU,1726948948
30,waitangi,-43.9535,-176.5597,282.49,90,2,4.62,NZ,1726948950
31,ceerigaabo,10.6162,47.368,294.28,33,17,2.01,SO,1726948951
32,hawaiian paradise park,19.5933,-154.9731,300.22,77,31,0.45,US,1726948952
33,carnarvon,-24.8667,113.6333,292.06,73,0,1.55,AU,1726948953
34,quellon,-43.1167,-73.6167,281.8,74,46,4.2,CL,1726948868
35,tiksi,71.6872,128.8694,271.83,83,100,2.0,RU,1726948956
36,palekh,56.8028,41.8572,285.43,50,39,5.32,RU,1726948957
37,hamilton,39.1834,-84.5333,308.26,39,20,2.24,US,1726948312
38,qaqortoq,60.7167,-46.0333,280.68,59,86,2.83,GL,1726948960
39,lalibela,12.0333,39.0333,286.86,57,58,3.38,ET,1726948961
40,port mathurin,-19.6833,63.4167,295.23,80,26,8.56,MU,1726948962
41,waingapu,-9.6567,120.2641,298.82,80,18,0.85,ID,1726948963
42,jamestown,42.097,-79.2353,300.38,51,75,2.57,US,1726948884
43,papatowai,-46.5619,169.4708,281.19,80,100,2.62,NZ,1726948966
44,beidaihehaibin,39.8222,119.5181,285.86,57,0,3.66,CN,1726948967
45,ust-nera,64.5667,143.2,272.08,80,100,1.0,RU,1726948968
46,wailua homesteads,22.0669,-159.378,299.68,79,15,3.58,US,1726948969
47,whitehorse,60.7161,-135.0538,278.72,95,100,1.54,CA,1726948869
48,wunnenberg,51.5167,8.7,289.58,75,0,2.06,DE,1726948971
49,queenstown,-31.8976,26.8753,280.15,87,64,3.25,ZA,1726948972
50,broken hill,-31.95,141.4333,281.09,78,79,2.21,AU,1726948679
51,vila velha,-20.3297,-40.2925,300.12,80,0,8.23,BR,1726948807
52,avarua,-21.2078,-159.775,298.18,73,40,7.72,CK,1726948976
53,mazyr,52.0495,29.2456,288.21,53,9,1.83,BY,1726948977
54,pointe-noire,-4.7761,11.8635,297.33,88,100,3.62,CG,1726948978
55,bredasdorp,-34.5322,20.0403,287.01,78,53,6.9,ZA,1726948979
56,margate,51.3813,1.3862,291.31,84,100,0.45,GB,1726948980
57,daru,-9.0763,143.2092,298.78,84,100,2.73,PG,1726948981
58,berdigestyakh,62.0989,126.6992,275.16,97,100,1.41,RU,1726948982
59,masterton,-40.9597,175.6575,284.47,77,100,2.36,NZ,1726948984
60,west island,-12.1568,96.8225,299.14,89,75,4.12,CC,1726948985
61,kinablangan,7.6947,126.5503,297.27,89,100,1.49,PH,1726948987
62,pisco,-13.7,-76.2167,291.18,82,20,5.14,PE,1726948988
63,albany,42.6001,-73.9662,298.9,56,100,1.79,US,1726948700
64,roja,57.5,22.8167,287.59,74,7,5.27,LV,1726948990
65,massawa,15.6097,39.45,304.72,67,0,2.53,ER,1726948991
66,al hazm,16.1641,44.7769,301.31,14,0,3.62,YE,1726948992
67,bubaque,11.2833,-15.8333,300.45,80,56,4.15,GW,1726948994
68,nantucket,41.2835,-70.0995,289.21,100,100,14.35,US,1726948974
69,nyurba,63.2842,118.3319,273.82,97,99,0.93,RU,1726948996
70,horta,38.5333,-28.6333,296.95,83,40,4.12,PT,1726948997
71,aasiaat,68.7098,-52.8699,275.07,78,47,4.18,GL,1726948998
72,jieshi,22.8134,115.8257,300.19,82,54,2.37,CN,1726948999
73,ancud,-41.8697,-73.8203,281.63,84,28,6.1,CL,1726949000
74,atafu village,-8.5421,-172.5159,301.06,79,60,5.8,TK,1726949001
75,talnakh,69.4865,88.3972,274.02,80,99,3.12,RU,1726949002
76,altai,46.3722,96.2583,281.33,65,12,2.76,MN,1726949004
77,lebu,-37.6167,-73.65,284.12,88,100,4.42,CL,1726949005
78,chiredzi,-21.05,31.6667,287.44,87,100,3.99,ZW,1726949006
79,severo-yeniseyskiy,60.3725,93.0408,279.62,97,68,1.58,RU,1726949007
80,puerto ayora,-0.7393,-90.3518,294.57,91,96,3.13,EC,1726949008
81,kanggye,40.9695,126.5852,280.29,97,14,1.2,KP,1726949009
82,ilulissat,69.2167,-51.1,278.16,60,20,1.54,GL,1726949010
83,nazarovo,56.0064,90.3914,282.19,97,90,3.74,RU,1726949011
84,qui nhon,13.7667,109.2333,299.27,83,100,2.56,VN,1726949012
85,poronaysk,49.2167,143.1167,276.98,80,2,1.85,RU,1726949013
86,mogadishu,2.0371,45.3438,298.73,87,2,5.77,SO,1726949015
87,flying fish cove,-10.4217,105.6791,294.97,94,100,0.0,CX,1726948894
88,urengoy,65.9667,78.3667,281.64,92,100,4.72,RU,1726949017
89,alofi,-19.0595,-169.9187,297.09,83,75,5.14,NU,1726949018
